,date,text,followers,polarity,sentiment_confidence,clusters
0,2019-11-24 22:35:40,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',76,0.7,0.4,0
1,2019-11-24 22:35:39,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',80,0.7,0.4,0
2,2019-11-24 22:35:35,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',34,0.7,0.4,0
3,2019-11-24 22:35:35,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',40,0.7,0.4,0
4,2019-11-24 22:35:33,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',2,0.7,0.4,0
5,2019-11-24 22:35:33,"b'""If you like serial killer stories, then you will enjoy this book."" https://t.co/8NvObmTjgH'",146,0.4,0.5,0
6,2019-11-24 22:35:31,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',229,0.7,0.4,0
7,2019-11-24 22:35:31,b'RT @KurtSchlichter: Screw it - let\xe2\x80\x99s move up the Kindle release to Wednesday!\n\nPre-order it now!\n\nhttps://t.co/OdZU42c8O7',4041,0.0,0.0,1
8,2019-11-24 22:35:30,"b'RT @roylmurry425: RT In\nthe Clouds\xc2\xa0\n\nby\xc2\xa0Roy Murry\xc2\xa0(Author),\xc2\xa0Gabriele\nNapierata Autorin\xc2\xa0(Illustrator) USA: https://t.co/Z2zW5eqIMe UK: https\xe2\x80\xa6'",6234,0.0,0.0,1
9,2019-11-24 22:35:29,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',6,0.7,0.4,0
10,2019-11-24 22:35:27,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',1120,0.7,0.4,0
11,2019-11-24 22:35:22,b'RT @FatKidDeals: GAME OF THE YEAR\n    \nGod of War on PS4- only $9.99!!!  \n\nhttps://t.co/1Vq5x9Zmf6\n\n#FKDBF https://t.co/5Cc6y1p71n',270,-0.2,0.7,3
12,2019-11-24 22:35:22,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',273,0.7,0.4,0
13,2019-11-24 22:35:20,"b'RT @TanELLclassroom: Instead of blaming or shaming #ELs, we need to examine the policies &amp; practices that prevent ELs\xe2\x80\x99 assets from shinning\xe2\x80\xa6'",50,0.0,0.0,1
14,2019-11-24 22:35:18,b'Available for #Kindle! Grown-Up Christmas List\n#UnitedStates  #UnitedKingdom #Canada #Australia\nUS:\xe2\x80\xa6 https://t.co/GFvKMxnCbF',11205,0.5,0.4,0
15,2019-11-24 22:35:17,b'RT @primevideouk: \xf0\x9f\x92\xb8#WIN \xc2\xa3300 ahead of Black Friday \xf0\x9f\x92\xb8Follow us and comment with your favourite Amazon Prime Video show for a chance to win 1\xe2\x80\xa6',1073,0.3166666666666667,0.4166666666666667,3
16,2019-11-24 22:35:17,b'CMON Zombicide Black Plague: Wulfsburg \n\n37% off\n\n#ad https://t.co/hMpPpvEt97 https://t.co/yS3NVsznH1',7161,-0.16666666666666666,0.43333333333333335,3
17,2019-11-24 22:35:16,b'RT @legendxdaily: Via: Amazon Music Instagram story. #FallOnMe #AMAs \n\nhttps://t.co/1o0Hfz8Kgu https://t.co/ivmu3PqIKw',2724,0.0,0.0,1
18,2019-11-24 22:35:15,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',14,0.7,0.4,0
19,2019-11-24 22:35:14,b'#FREE with #Kindle Unlimited.\n\nA three-day weekend is about to test Detective Ray Schiller\xe2\x80\x99s resourcefulness and wi\xe2\x80\xa6 https://t.co/ZUWZvi94FG',7768,0.4,0.8,4
20,2019-11-24 22:35:13,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',91,0.7,0.4,0
21,2019-11-24 22:35:13,"b'RT @peggy_jaeger: #seductivesunday ""HIs mouth! Mio Dio, his mouth!"" ~Gia SanValentino A KISS UNDER THE CHRISTMAS LIGHTS  \n#onsalenow for #9\xe2\x80\xa6'",1415,0.0,0.0,1
